algorithm,FOV,noise,epsilon,scene,userIdx,psnr_mean,psnr_lb,psnr_ub,ssim_mean,ssim_lb,ssim_ub,vmaf_mean,vmaf_lb,vmaf_ub
Disturber,115,4,50.0,Nature,0,19.17621043,19.074469400541684,19.27795145945832,0.3893720459999998,0.3849466904947696,0.39379740150523,9.265711571999995,8.944710865070563,9.586712278929427
Disturber,115,4,50.0,Nature,1,18.985267232,18.9010269721487,19.069507491851304,0.39061764800000026,0.38547192324662444,0.3957633727533761,10.132648086,9.741267269614415,10.524028902385584
Disturber,115,4,50.0,Nature,2,19.502950330000004,19.40720736326462,19.598693296735387,0.39643170399999994,0.3919326829482029,0.400930725051797,10.009179084000007,9.668322731108633,10.35003543689138
Disturber,115,4,50.0,Nature,3,17.477894100000004,17.33561137093278,17.620176829067226,0.3159145199999999,0.3124641841567572,0.31936485584324265,8.522384125999997,8.255444918320675,8.789323333679318
Disturber,115,4,50.0,Nature,4,19.114763389999986,19.02994092338972,19.199585856610252,0.3782712959999999,0.37521012863732905,0.3813324633626708,8.898231986000003,8.60152083686055,9.194943135139455
Disturber,115,4,50.0,Nature,5,19.665018236000012,19.5838857528361,19.746150719163925,0.38729435000000006,0.3834603743428443,0.39112832565715583,9.473880293999992,9.189176812920797,9.758583775079186
Disturber,115,4,50.0,Office,0,18.064297711999988,17.979359505872235,18.14923591812774,0.30665672599999994,0.30083237300195775,0.3124810789980421,8.634603531999998,8.420524769484238,8.848682294515758
Disturber,115,4,50.0,Office,1,18.71697425000001,18.590433575137933,18.843514924862088,0.3326468800000002,0.32481253233633695,0.34048122766366345,9.341750110000005,8.982977856328224,9.700522363671785
Disturber,115,4,50.0,Office,2,20.278106370000017,20.177349460017624,20.37886327998241,0.4640191140000002,0.4561000938376258,0.47193813416237457,5.942401453999995,5.587946124812569,6.296856783187422
Disturber,115,4,50.0,Office,3,19.207192643999996,19.10904030518572,19.305344982814272,0.37412038799999975,0.3671794085630305,0.381061367436969,8.478162183999993,8.14103485126892,8.815289516731067
Disturber,115,4,50.0,Office,4,20.293552119999998,20.17171090847498,20.415393331525014,0.4249720940000001,0.4161005580591022,0.433843629940898,10.229811504000004,9.712929524262421,10.746693483737587
Disturber,115,4,50.0,Office,5,20.438650939999985,20.33822222781286,20.53907965218711,0.428701354,0.42132237050584087,0.4360803374941591,7.841968433999999,7.4585094357163575,8.22542743228364
Disturber,115,6,33.333333333333336,City,0,25.14811855200002,25.09483497088976,25.20140213311028,0.8072656879999994,0.8043555320231719,0.810175843976827,42.84605222799997,41.78210693074983,43.909997525250105
Disturber,115,6,33.333333333333336,City,1,25.731601435999995,25.619127631027645,25.844075240972344,0.8315064140000005,0.8271345933247614,0.8358782346752396,43.648080932,42.558237173074815,44.73792469092518
Disturber,115,6,33.333333333333336,City,2,24.879411130000012,24.796663378001092,24.96215888199893,0.7870286159999998,0.7827225377142919,0.7913346942857078,39.343289522,38.34229441922931,40.34428462477069
Disturber,115,6,33.333333333333336,City,3,24.953799236,24.871142736521623,25.036455735478373,0.792558252,0.7881183597943804,0.7969981442056195,36.88601598799999,35.89467107365407,37.87736090234591
Disturber,115,6,33.333333333333336,City,4,25.40309881000002,25.32495099884299,25.48124662115705,0.8193070200000007,0.8161241134316946,0.8224899265683068,41.627442143999986,40.60755940466661,42.64732488333336
Disturber,115,6,33.333333333333336,City,5,24.923827023999994,24.8617297682239,24.98592427977609,0.8069395440000012,0.804380499784752,0.8094985882152504,37.59355530800001,36.6323451313338,38.55476548466623
Disturber,115,6,33.333333333333336,Gallery,0,16.953408495999998,16.866346541669348,17.04047045033065,0.3023058579999999,0.2971687929406486,0.3074429230593513,8.901603025999993,8.514102307929031,9.289103744070955
